t,v_pre,v_post,i,i_fast,i_slow
149.4,-0.562564,-1.42423,-0.681119,-0.00272519,-0.678394
150,-0.523048,-1.42351,-0.681595,-0.00306611,-0.678529
150.6,-0.558057,-1.42283,-0.681388,-0.00276187,-0.678626
151.2,-0.530555,-1.42211,-0.68175,-0.00299796,-0.678752
151.8,-0.562056,-1.42143,-0.68157,-0.00272886,-0.678841
152.4,-0.502545,-1.4207,-0.682233,-0.00325891,-0.678974
153,-0.517541,-1.42,-0.682222,-0.00311623,-0.679106
153.6,-0.542552,-1.4193,-0.682101,-0.00289204,-0.679209
154.2,-0.548059,-1.41861,-0.682125,-0.00284479,-0.679281
154.8,-0.54506,-1.41789,-0.682259,-0.00287024,-0.679388
155.4,-0.577561,-1.41721,-0.682045,-0.00260476,-0.67944
156,-0.559057,-1.41649,-0.682278,-0.00275257,-0.679526
156.6,-0.577069,-1.4158,-0.682214,-0.00260836,-0.679606
157.2,-0.52354,-1.41507,-0.682755,-0.00306005,-0.679695
157.8,-0.538553,-1.41436,-0.682723,-0.00292588,-0.679797
158.4,-0.530555,-1.41365,-0.682894,-0.00299641,-0.679898
159,-0.505544,-1.41292,-0.683252,-0.00322836,-0.680024
159.6,-0.517541,-1.4122,-0.683287,-0.00311475,-0.680173
160.2,-0.509035,-1.41148,-0.683488,-0.00319464,-0.680293
160.8,-0.49253,-1.41073,-0.683812,-0.00335565,-0.680456
161.4,-0.51605,-1.41001,-0.683718,-0.00312822,-0.68059
162,-0.503036,-1.40927,-0.683992,-0.00325187,-0.68074
162.6,-0.527047,-1.40855,-0.683892,-0.00302699,-0.680865
163.2,-0.49453,-1.4078,-0.684334,-0.00333511,-0.680999
163.8,-0.457521,-1.40703,-0.684905,-0.00372386,-0.681181
164.4,-0.503544,-1.40629,-0.684605,-0.00324635,-0.681359
165,-0.475026,-1.40552,-0.685077,-0.00353427,-0.681543
165.6,-0.487531,-1.40476,-0.685134,-0.00340479,-0.681729
166.2,-0.494038,-1.404,-0.68525,-0.00333922,-0.681911
166.8,-0.484024,-1.40322,-0.685543,-0.00344025,-0.682103
167.4,-0.488531,-1.40245,-0.68567,-0.00339418,-0.682276
168,-0.480025,-1.40166,-0.685948,-0.00348118,-0.682467
168.6,-0.478533,-1.40089,-0.686132,-0.00349653,-0.682635
169.2,-0.497529,-1.40011,-0.6861,-0.00330386,-0.682797
169.8,-0.504544,-1.39933,-0.686178,-0.00323532,-0.682943
170.4,-0.516542,-1.39856,-0.686178,-0.00312146,-0.683056
171,-0.499545,-1.39778,-0.686439,-0.0032836,-0.683155
171.6,-0.520541,-1.39701,-0.686319,-0.00308415,-0.683235
172.2,-0.510051,-1.39623,-0.686518,-0.00318202,-0.683336
172.8,-0.507035,-1.39543,-0.686666,-0.00321061,-0.683455
173.4,-0.549551,-1.39467,-0.686371,-0.00282802,-0.683543
174,-0.54306,-1.39389,-0.68649,-0.0028832,-0.683607
174.6,-0.499545,-1.39307,-0.687003,-0.00328266,-0.68372
175.2,-0.553058,-1.3923,-0.686625,-0.00279817,-0.683827
175.8,-0.503544,-1.39148,-0.687191,-0.00324343,-0.683948
176.4,-0.499037,-1.3907,-0.687314,-0.00328716,-0.684027
177,-0.514542,-1.38991,-0.68723,-0.00313847,-0.684091
177.6,-0.489039,-1.38909,-0.687613,-0.00338628,-0.684227
178.2,-0.489039,-1.38827,-0.687752,-0.00338612,-0.684366
178.8,-0.533046,-1.38748,-0.687439,-0.00296948,-0.684469
179.4,-0.507035,-1.38666,-0.687774,-0.00320889,-0.684565
