t,v_pre,v_post,i,i_fast,i_slow
8.496,-0.547551,-1.46541,-0.607006,-6.93303e-05,-0.606937
8.544,-0.558565,-1.46481,-0.607211,-6.63965e-05,-0.607145
8.592,-0.558057,-1.46419,-0.607493,-6.65259e-05,-0.607427
8.64,-0.550059,-1.46358,-0.607724,-6.86424e-05,-0.607656
8.688,-0.55255,-1.46297,-0.607902,-6.79719e-05,-0.607834
8.736,-0.559565,-1.46235,-0.6081,-6.61245e-05,-0.608034
8.784,-0.554566,-1.46173,-0.608278,-6.74304e-05,-0.608211
8.832,-0.565056,-1.46113,-0.608313,-6.471e-05,-0.608249
8.88,-0.57607,-1.46052,-0.608395,-6.19717e-05,-0.608333
8.928,-0.571071,-1.45991,-0.608439,-6.31957e-05,-0.608376
8.976,-0.564056,-1.4593,-0.60854,-6.49553e-05,-0.608475
9.024,-0.543552,-1.4587,-0.608676,-7.03906e-05,-0.608606
9.072,-0.571562,-1.45809,-0.60873,-6.30653e-05,-0.608667
9.12,-0.565564,-1.45749,-0.608779,-6.45635e-05,-0.608714
9.168,-0.582576,-1.45689,-0.608848,-6.03939e-05,-0.608788
9.216,-0.549551,-1.45629,-0.608908,-6.87416e-05,-0.60884
9.264,-0.551567,-1.45569,-0.608963,-6.81972e-05,-0.608894
9.312,-0.581069,-1.4551,-0.608959,-6.07439e-05,-0.608898
9.36,-0.601081,-1.45451,-0.608924,-5.61565e-05,-0.608867
9.408,-0.562564,-1.45392,-0.608971,-6.53099e-05,-0.608905
9.456,-0.563564,-1.45333,-0.60903,-6.50514e-05,-0.608965
9.504,-0.560565,-1.45274,-0.609135,-6.58182e-05,-0.609069
9.552,-0.582576,-1.45215,-0.609186,-6.03724e-05,-0.609125
9.6,-0.57307,-1.45155,-0.609301,-6.26627e-05,-0.609238
9.648,-0.571071,-1.45096,-0.609372,-6.31532e-05,-0.609309
9.696,-0.538553,-1.45037,-0.609563,-7.17391e-05,-0.609491
9.744,-0.534046,-1.44977,-0.609757,-7.30151e-05,-0.609684
9.792,-0.51705,-1.44915,-0.610067,-7.80438e-05,-0.609988
9.84,-0.542552,-1.44854,-0.610261,-7.06132e-05,-0.610191
9.888,-0.526556,-1.44793,-0.610554,-7.51811e-05,-0.610479
9.936,-0.521049,-1.4473,-0.61084,-7.68188e-05,-0.610763
9.984,-0.533046,-1.44667,-0.611098,-7.32849e-05,-0.611025
10.032,-0.507035,-1.44604,-0.611355,-8.11506e-05,-0.611273
10.08,-0.527047,-1.44541,-0.611615,-7.50221e-05,-0.61154
10.128,-0.49553,-1.44476,-0.611928,-8.48876e-05,-0.611843
10.176,-0.515542,-1.44411,-0.612271,-7.84769e-05,-0.612192
10.224,-0.502545,-1.44346,-0.612577,-8.25762e-05,-0.612494
10.272,-0.561565,-1.4428,-0.612787,-6.55117e-05,-0.612721
10.32,-0.509035,-1.44215,-0.613011,-8.04932e-05,-0.61293
10.368,-0.54506,-1.44149,-0.613194,-6.98852e-05,-0.613124
10.416,-0.54506,-1.44083,-0.613321,-6.98817e-05,-0.613251
10.464,-0.563564,-1.44018,-0.613373,-6.49872e-05,-0.613308
10.512,-0.531047,-1.43954,-0.613387,-7.38222e-05,-0.613313
10.56,-0.539553,-1.43889,-0.613473,-7.13968e-05,-0.613402
10.608,-0.557565,-1.43823,-0.613596,-6.65244e-05,-0.613529
10.656,-0.551059,-1.43758,-0.613654,-6.82404e-05,-0.613585
10.704,-0.584068,-1.43695,-0.613589,-5.99518e-05,-0.613529
10.752,-0.554058,-1.43631,-0.61357,-6.74359e-05,-0.613503
