t,x,y,z
58.4,-1.4955,-10.1915,3.14313
58.5,-1.49544,-10.1906,3.14308
58.6,-1.49538,-10.1897,3.14304
58.7,-1.49532,-10.1888,3.14299
58.8,-1.49526,-10.1879,3.14295
58.9,-1.4952,-10.187,3.14291
59,-1.49514,-10.1861,3.14286
59.1,-1.49508,-10.1852,3.14282
59.2,-1.49502,-10.1843,3.14277
59.3,-1.49496,-10.1835,3.14273
59.4,-1.4949,-10.1826,3.14269
59.5,-1.49484,-10.1817,3.14264
59.6,-1.49478,-10.1808,3.1426
59.7,-1.49472,-10.1799,3.14255
59.8,-1.49466,-10.179,3.14251
59.9,-1.4946,-10.1781,3.14247
60,-1.49454,-10.1772,3.14242
60.1,-1.49448,-10.1763,3.14238
60.2,-1.49442,-10.1754,3.14233
60.3,-1.49436,-10.1745,3.14229
60.4,-1.4943,-10.1736,3.14225
60.5,-1.49424,-10.1727,3.1422
60.6,-1.49418,-10.1718,3.14216
60.7,-1.49412,-10.1709,3.14212
60.8,-1.49406,-10.17,3.14207
60.9,-1.494,-10.1691,3.14203
61,-1.49394,-10.1682,3.14198
61.1,-1.49388,-10.1673,3.14194
61.2,-1.49382,-10.1664,3.1419
61.3,-1.49376,-10.1655,3.14185
61.4,-1.4937,-10.1646,3.14181
61.5,-1.49364,-10.1637,3.14177
61.6,-1.49358,-10.1628,3.14172
61.7,-1.49352,-10.162,3.14168
61.8,-1.49346,-10.1611,3.14164
61.9,-1.4934,-10.1602,3.14159
62,-1.49334,-10.1593,3.14155
62.1,-1.49328,-10.1584,3.1415
62.2,-1.49322,-10.1575,3.14146
62.3,-1.49316,-10.1566,3.14142
62.4,-1.4931,-10.1557,3.14137
62.5,-1.49304,-10.1548,3.14133
62.6,-1.49298,-10.1539,3.14129
62.7,-1.49292,-10.153,3.14124
62.8,-1.49286,-10.1521,3.1412
62.9,-1.4928,-10.1512,3.14116
63,-1.49274,-10.1503,3.14111
63.1,-1.49268,-10.1494,3.14107
63.2,-1.49262,-10.1485,3.14103
63.3,-1.49256,-10.1476,3.14098
63.4,-1.4925,-10.1467,3.14094
63.5,-1.49244,-10.1458,3.1409
63.6,-1.49238,-10.1449,3.14085
63.7,-1.49232,-10.144,3.14081
63.8,-1.49226,-10.1431,3.14077
63.9,-1.4922,-10.1422,3.14072
64,-1.49214,-10.1413,3.14068
64.1,-1.49208,-10.1404,3.14064
64.2,-1.49202,-10.1395,3.14059
64.3,-1.49196,-10.1386,3.14055
64.4,-1.4919,-10.1377,3.14051
64.5,-1.49183,-10.1368,3.14046
64.6,-1.49177,-10.1359,3.14042
64.7,-1.49171,-10.135,3.14038
64.8,-1.49165,-10.1341,3.14033
64.9,-1.49159,-10.1332,3.14029
65,-1.49153,-10.1323,3.14025
65.1,-1.49147,-10.1314,3.1402
65.2,-1.49141,-10.1305,3.14016
65.3,-1.49135,-10.1297,3.14012
65.4,-1.49129,-10.1288,3.14007
65.5,-1.49123,-10.1279,3.14003
65.6,-1.49117,-10.127,3.13999
65.7,-1.49111,-10.1261,3.13994
65.8,-1.49105,-10.1252,3.1399
65.9,-1.49099,-10.1243,3.13986
66,-1.49093,-10.1234,3.13982
66.1,-1.49087,-10.1225,3.13977
66.2,-1.49081,-10.1216,3.13973
66.3,-1.49075,-10.1207,3.13969
66.4,-1.49069,-10.1198,3.13964
66.5,-1.49063,-10.1189,3.1396
66.6,-1.49057,-10.118,3.13956
66.7,-1.49051,-10.1171,3.13951
66.8,-1.49045,-10.1162,3.13947
66.9,-1.49039,-10.1153,3.13943
67,-1.49033,-10.1144,3.13939
67.1,-1.49027,-10.1135,3.13934
67.2,-1.49021,-10.1126,3.1393
67.3,-1.49015,-10.1117,3.13926
67.4,-1.49009,-10.1108,3.13921
